advertiser_id, site_id, date      , campaign_id, campaign_name          , acos  , advertising_items_quantity, clicks, cost  , cpc , cvr  , direct_amount, direct_items_quantity, direct_units_quantity, indirect_amount, indirect_items_quantity, indirect_units_quantity, organic_items_quantity, organic_units_amount, organic_units_quantity, prints, roas , sov   , total_amount, units_quantity
       731958, MLB    , 2025-09-18,   353235970, VNZK01_PRODUCT-ADS_PERF,  92.78,                          2,    161, 326.0 , 2.02,  1.24,        351.35,                     2,                     2,            0.0 ,                       0,                       0,                      8,               6006.0,                     10,  74493,  1.08,  20.0 ,       351.35,              2
       731958, MLB    , 2025-09-19,   353235970, VNZK01_PRODUCT-ADS_PERF,   0.0 ,                          0,    164, 260.6 , 1.59,  0.0 ,          0.0 ,                     0,                     0,            0.0 ,                       0,                       0,                      1,                784.0,                      1,  34193,  0.0 ,   0.0 ,         0.0 ,              0
       731958, MLB    , 2025-09-20,   353235970, VNZK01_PRODUCT-ADS_PERF,   9.29,                          7,    101, 175.3 , 1.74,  6.93,        816.9 ,                     4,                     4,         1070.35,                       3,                       3,                      1,                354.0,                      1,  31830, 10.77,  87.5 ,      1887.25,              7
       731958, MLB    , 2025-09-21,   353235970, VNZK01_PRODUCT-ADS_PERF,   9.67,                         10,    132, 300.73, 2.28, 10.61,       2895.95,                     8,                    12,          213.0 ,                       2,                       2,                      2,               1178.0,                      3,  24358, 10.34,  83.33,      3108.95,             14
       731958, MLB    , 2025-09-22,   353235970, VNZK01_PRODUCT-ADS_PERF,  13.36,                          6,    152, 326.0 , 2.14,  3.95,       2439.9 ,                     6,                     6,            0.0 ,                       0,                       0,                      4,               1345.0,                      4,  35007,  7.48,  60.0 ,      2439.9 ,              6
       731958, MLB    , 2025-09-23,   353235970, VNZK01_PRODUCT-ADS_PERF,  11.22,                         10,    124, 326.0 , 2.63,  8.87,       1884.7 ,                     6,                     6,         1021.8 ,                       4,                       5,                      9,               5514.0,                     14,  24490,  8.92,  52.63,      2906.5 ,             11
       731958, MLB    , 2025-09-24,   353235970, VNZK01_PRODUCT-ADS_PERF,   7.41,                          8,    109, 326.0 , 2.99, 10.09,       3691.8 ,                     5,                     8,          707.85,                       3,                       3,                      5,               1859.0,                      5,  17694, 13.5 ,  61.54,      4399.65,             11
       731958, MLB    , 2025-09-25,   353235970, VNZK01_PRODUCT-ADS_PERF,  12.87,                          7,    114, 326.0 , 2.86,  6.14,        611.0 ,                     3,                     3,         1921.7 ,                       4,                       4,                      6,               1510.0,                      6,  22465,  7.77,  53.85,      2532.7 ,              7
       731958, MLB    , 2025-09-26,   353235970, VNZK01_PRODUCT-ADS_PERF,  38.45,                          3,    118, 326.0 , 2.76,  2.54,        847.85,                     3,                     3,            0.0 ,                       0,                       0,                      7,               2223.0,                      7,  37420,  2.6 ,  30.0 ,       847.85,              3
       731958, MLB    , 2025-09-27,   353235970, VNZK01_PRODUCT-ADS_PERF,   0.0 ,                          0,    182, 326.0 , 1.79,  0.0 ,          0.0 ,                     0,                     0,            0.0 ,                       0,                       0,                      5,               2440.0,                      6,  66053,  0.0 ,   0.0 ,         0.0 ,              0
       731958, MLB    , 2025-09-28,   353235970, VNZK01_PRODUCT-ADS_PERF,  46.06,                          2,    178, 326.0 , 1.83,  1.12,        353.85,                     1,                     1,          353.85,                       1,                       1,                      1,                297.0,                      1,  50376,  2.17,  66.67,       707.7 ,              2
       731958, MLB    , 2025-09-29,   353235970, VNZK01_PRODUCT-ADS_PERF,  16.5 ,                          5,    136, 326.0 , 2.4 ,  3.68,        938.7 ,                     2,                     2,         1037.35,                       3,                       3,                      1,                784.0,                      1,  94990,  6.06,  83.33,      1976.05,              5
